id;start_date;end_date;language
1;2020-02-12T17:05:00;2020-02-12T14:55:15;SPANISH
2;2020-02-11T21:55:11;2020-02-12T16:59:36;SPANISH
3;2020-02-12T12:50:30;2020-02-11T23:24:39;FRENCH
4;2020-02-12T04:08:01;2020-02-12T15:39:27;FRENCH
5;2020-02-12T13:38:19;2020-02-12T18:25:18;FRENCH
6;2020-02-12T07:30:40;2020-02-12T19:38:54;FRENCH
7;2020-02-12T09:16:00;2020-02-12T03:06:51;FRENCH
8;2020-02-12T08:12:13;2020-02-12T18:28:21;SPANISH
9;2020-02-12T06:53:22;2020-02-12T03:34:45;SPANISH
10;2020-02-12T15:05:26;2020-02-12T01:39:56;SPANISH
