id;is_full;width;height;length;weight;marchandise;etd;description;state;eta;distance
1;false;97398;44733;58107;36934;FISH;2020-02-12T02:18:55;Analyst Gorgeous Division;ACTIVATED;2020-02-12T14:48:05;91226
2;true;70505;25922;91567;58431;FISH;2020-02-12T02:33:13;Bedfordshire Aruban Guilder recontextualize;IN_PROGRESS;2020-02-12T05:56:17;24725
3;true;76321;2218;24669;8881;OTHER;2020-02-12T15:21:42;Keyboard Cross-group Outdoors;ACTIVATED;2020-02-11T22:28:29;25276
4;false;35031;59693;97458;63303;OTHER;2020-02-12T15:27:23;Bahamian Dollar;MATCHED;2020-02-11T23:47:59;30165
5;false;49474;76035;88675;56883;OTHER;2020-02-11T20:21:14;Home Loan Account;IN_PROGRESS;2020-02-12T10:20:37;29018
6;false;54320;5810;85367;58901;FISH;2020-02-11T20:35:35;navigating Global;ACTIVATED;2020-02-11T18:30:52;95287
7;true;17624;55647;34744;57531;OTHER;2020-02-12T15:14:41;Savings Account Stream Alaska;IN_PROGRESS;2020-02-11T18:50:16;82657
8;false;17975;30695;73541;89405;VEGETABLES;2020-02-12T02:52:54;quantifying Versatile content;FINISHED;2020-02-12T01:06:49;2761
9;false;30435;91902;82678;76565;OTHER;2020-02-12T08:48:38;Grocery UIC-Franc 1080p;MATCHED;2020-02-12T14:39:48;29644
10;true;55952;36557;97254;79393;VEGETABLES;2020-02-11T18:31:50;Table open-source;FINISHED;2020-02-12T04:22:30;69341
