id;plate_number;conteneur_plate_number;type;width;height;length;max_weight
1;interfaces Intelligent parse;Shoes Myanmar;DOMESTIC;3187;70232;80116;49823
2;Gorgeous Fresh Chair payment Trace;Small Rubber Keyboard;EXPORT;93181;20263;80847;60024
3;Chicken Bedfordshire Connecticut;Union compress Bulgarian Lev;EXPORT;81331;47467;71460;81195
4;California Credit Card Account;Soap;EXPORT;86633;38186;65560;73208
5;Rupiah Response;Intelligent Chad Cambridgeshire;DOMESTIC;44284;39852;26375;38179
6;regional port Handmade;Horizontal red;EXPORT;97837;44762;3741;11210
7;deposit zero tolerance;niches Agent green;EXPORT;88635;99440;46891;63333
8;Buckinghamshire hybrid Solutions;International;EXPORT;72277;92518;70058;5678
9;virtual Fresh index;Senior GB;DOMESTIC;57452;87792;44620;66509
10;TCP iterate Euro;River Azerbaijan;EXPORT;8890;63105;13454;23290
